"sampno","R0","gamma","lnlike"
88,3.18702028831467,0.0560273793106899,-147.768631159161
89,3.18702028831467,0.0560273793106899,-147.768631159161
90,3.18702028831467,0.0560273793106899,-147.768631159161
91,3.18702028831467,0.0560273793106899,-147.768631159161
92,3.18702028831467,0.0560273793106899,-147.768631159161
93,3.18702028831467,0.0560273793106899,-147.768631159161
94,3.18702028831467,0.0560273793106899,-147.768631159161
95,3.18702028831467,0.0560273793106899,-147.768631159161
96,3.18702028831467,0.0560273793106899,-147.768631159161
97,3.18702028831467,0.0560273793106899,-147.768631159161
98,3.18702028831467,0.0560273793106899,-147.768631159161
99,3.18702028831467,0.0560273793106899,-147.768631159161
100,3.18702028831467,0.0560273793106899,-147.768631159161
101,3.18702028831467,0.0560273793106899,-147.768631159161
102,3.18702028831467,0.0560273793106899,-147.768631159161
103,3.18702028831467,0.0560273793106899,-147.768631159161
104,3.18702028831467,0.0560273793106899,-147.768631159161
105,3.18702028831467,0.0560273793106899,-147.768631159161
106,3.18702028831467,0.0560273793106899,-147.768631159161
107,3.18702028831467,0.0560273793106899,-147.768631159161
108,3.18702028831467,0.0560273793106899,-147.768631159161
109,3.18702028831467,0.0560273793106899,-147.768631159161
110,3.18702028831467,0.0560273793106899,-147.768631159161
111,3.18702028831467,0.0560273793106899,-147.768631159161
112,3.18702028831467,0.0560273793106899,-147.768631159161
113,3.18702028831467,0.0560273793106899,-147.768631159161
114,3.18702028831467,0.0560273793106899,-147.768631159161
115,3.18702028831467,0.0560273793106899,-147.768631159161
116,3.18566496118438,0.0560273793106899,-147.769826683575
117,3.18566496118438,0.0560273793106899,-147.769826683575
118,3.18566496118438,0.0560273793106899,-147.769826683575
119,3.18566496118438,0.0560273793106899,-147.769826683575
120,3.18566496118438,0.0560273793106899,-147.769826683575
121,3.18566496118438,0.0560273793106899,-147.769826683575
122,3.18566496118438,0.0560273793106899,-147.769826683575
123,3.18566496118438,0.0560273793106899,-147.769826683575
124,3.18566496118438,0.0560273793106899,-147.769826683575
125,3.18566496118438,0.0560273793106899,-147.769826683575
126,3.18566496118438,0.0560273793106899,-147.769826683575
127,3.18566496118438,0.0560273793106899,-147.769826683575
128,3.18566496118438,0.0560273793106899,-147.769826683575
129,3.18566496118438,0.0560273793106899,-147.769826683575
130,3.18566496118438,0.0560273793106899,-147.769826683575
131,3.18566496118438,0.0560273793106899,-147.769826683575
132,3.18566496118438,0.0560273793106899,-147.769826683575
133,3.18566496118438,0.0560273793106899,-147.769826683575
134,3.18566496118438,0.0560273793106899,-147.769826683575
135,3.18566496118438,0.0560273793106899,-147.769826683575
136,3.18566496118438,0.0560273793106899,-147.769826683575
137,3.18566496118438,0.0560273793106899,-147.769826683575
138,3.20485968980938,0.0560273793106899,-147.93111958481
139,3.20485968980938,0.0560273793106899,-147.93111958481
140,3.20485968980938,0.0560273793106899,-147.93111958481
141,3.20485968980938,0.0560273793106899,-147.93111958481
142,3.20485968980938,0.0560273793106899,-147.93111958481
143,3.20485968980938,0.0560273793106899,-147.93111958481
144,3.24559057387523,0.0560273793106899,-149.518474651089
145,3.24559057387523,0.0560273793106899,-149.518474651089
146,3.24559057387523,0.0560273793106899,-149.518474651089
147,3.24559057387523,0.0560273793106899,-149.518474651089
148,3.24559057387523,0.0560273793106899,-149.518474651089
149,3.24559057387523,0.0560273793106899,-149.518474651089
150,3.24868692518212,0.0560273793106899,-149.706854955555
151,3.24868692518212,0.0560273793106899,-149.706854955555
152,3.24868692518212,0.0560273793106899,-149.706854955555
153,3.24868692518212,0.0560273793106899,-149.706854955555
154,3.24868692518212,0.0560273793106899,-149.706854955555
155,3.24868692518212,0.0560273793106899,-149.706854955555
156,3.24868692518212,0.0560273793106899,-149.706854955555
157,3.24868692518212,0.0560273793106899,-149.706854955555
158,3.24868692518212,0.0560273793106899,-149.706854955555
159,3.24868692518212,0.0560273793106899,-149.706854955555
160,3.24868692518212,0.0560273793106899,-149.706854955555
161,3.24868692518212,0.0560273793106899,-149.706854955555
162,3.24868692518212,0.0560273793106899,-149.706854955555
163,3.24868692518212,0.0560273793106899,-149.706854955555
164,3.22001901862677,0.0560273793106899,-148.326521191662
165,3.22001901862677,0.0560273793106899,-148.326521191662
166,3.22001901862677,0.0560273793106899,-148.326521191662
167,3.22001901862677,0.0560273793106899,-148.326521191662
168,3.1944838471245,0.0560273793106899,-147.796427226755
169,3.1944838471245,0.0560273793106899,-147.796427226755
170,3.1944838471245,0.0560273793106899,-147.796427226755
171,3.1944838471245,0.0560273793106899,-147.796427226755
172,3.1944838471245,0.0560273793106899,-147.796427226755
173,3.1944838471245,0.0560273793106899,-147.796427226755
174,3.1944838471245,0.0560273793106899,-147.796427226755
175,3.1944838471245,0.0560273793106899,-147.796427226755
176,3.21254674494267,0.0560273793106899,-148.102334102321
177,3.21254674494267,0.0560273793106899,-148.102334102321
178,3.21254674494267,0.0560273793106899,-148.102334102321
179,3.21254674494267,0.0560273793106899,-148.102334102321
180,3.21254674494267,0.0560273793106899,-148.102334102321
181,3.21254674494267,0.0560273793106899,-148.102334102321
182,3.21254674494267,0.0560273793106899,-148.102334102321
183,3.21254674494267,0.0560273793106899,-148.102334102321
184,3.21254674494267,0.0560273793106899,-148.102334102321
185,3.21254674494267,0.0560273793106899,-148.102334102321
186,3.21254674494267,0.0560273793106899,-148.102334102321
